ip,hostname,node,vmid,dienst,status,notiz
192.168.1.1,Router,,,"Gateway",aktiv,
192.168.1.4,uptimekuma,pve01,102,"Uptime Monitoring",running,
192.168.1.5,adguard,pve02,105,"AdGuard DNS",running,
192.168.1.6,dns01,pve03,104,"DNS02",running,
192.168.1.9,dns-auth-01,pve03,106,"PowerDNS",running,
192.168.1.11,pve01,,,"Proxmox Node",aktiv,
192.168.1.12,pve02,,,"Proxmox Node",aktiv,
192.168.1.13,pve03,,,"Proxmox Node",aktiv,
192.168.1.18,homeassistant,pve03,109,"Home Assistant",running,
192.168.1.19,proxmox-backup-server,pve01,100,"Proxmox Backup Server",running,
192.168.1.20,dns01,pve03,104,"Unbound DNS",running,
192.168.1.21,docker-Monitoring,pve02,100,"Monitoring Stack",running,
192.168.1.22,proxy.lab.local,pve02,102,"Reverse Proxy",running,
192.168.1.23,proxy01,pve03,113,"HAProxy Master",running,
192.168.1.24,proxy02,pve02,115,"HAProxy Backup",running,
192.168.1.25,netbox.app.home,pve03,107,"NetBox",running,
192.168.1.26,proxy-vip,pve02-pve03,,"Keepalived VIP",aktiv,
192.168.1.28,proxy-wi-01,pve02,117,"HAProxy-WI",running,
192.168.1.30,web-home,pve02,101,"Webserver",running,
192.168.1.31,git.app.home,pve02,103,"Git-Service",running,
192.168.1.44,asible,pve02,104,"Ansible/Semaphore",running,"Name prüfen: evtl. ansible"
192.168.1.60,Mariadb01,pve01,105,"MariaDB Node 1",running,
192.168.1.61,mariadb02,pve02,113,"MariaDB Node 2",running,
192.168.1.81,nodjs-dev,pve02,110,"Node.js Dev",running,"IP-Konflikt behoben; vorher fälschlich 192.168.1.61"192.168.1.62,mariadb03,pve03,102,"MariaDB Node 3",running,
192.168.1.69,admiral,pve03,103,"Web/App Server",running,
192.168.1.79,patchmon,pve03,101,"Patch Monitoring",running,
192.168.1.82,termix,pve02,111,"Web-Terminal",running,
192.168.1.91,de,pve02,109,"Unklar",running,"Zweck klären"
192.168.1.92,proxmox-datacenter-manager,pve02,108,"PDM",running,
192.168.1.125,mailarchive01,pve03,105,"Mailarchiv",running,
192.168.1.170,beszel,pve03,100,"Beszel Monitoring",running,
192.168.1.189,omada,pve02,116,"Omada Controller",running,
192.168.1.200,db-backup01,pve03,110,"DB Backup Server",running,
